YEAR, NITROUS OXIDE - SSP1-1.9, NITROUS OXIDE - SSP1-2.6, NITROUS OXIDE - SSP2-4.5, NITROUS OXIDE - SSP3-7.0, NITROUS OXIDE - SSP5-8.5
2015,,10.8823529411765,10.8823529411765,11.01449275362315,11.59701492537318
2016,,10.8823529411765,10.8823529411765,11.01449275362315,10.97014925373139
2017,,10.8823529411765,10.8823529411765,11.01449275362315,11.59701492537318
2018,,10.8823529411765,10.8823529411765,11.30434782608692,11.91044776119407
2019,10.43478260869561,10.8823529411765,10.8823529411765,11.30434782608692,11.91044776119407
2020,10.72463768115938,10.8823529411765,11.17647058823533,11.30434782608692,11.91044776119407
2021,10.72463768115938,10.58823529411768,11.17647058823533,11.59420289855069,12.22388059701497
2022,10.72463768115938,10.58823529411768,11.17647058823533,11.59420289855069,12.22388059701497
2023,10.72463768115938,10.58823529411768,11.17647058823533,11.59420289855069,12.22388059701497
2024,10.72463768115938,10.29411764705886,11.47058823529415,11.59420289855069,12.22388059701497
2025,10.43478260869561,10.29411764705886,11.47058823529415,11.88405797101446,12.22388059701497
2026,10.14492753623184,10.29411764705886,11.76470588235297,11.88405797101446,12.53731343283586
2027,10.14492753623184,10.29411764705886,11.76470588235297,12.17391304347823,12.85074626865676
2028,9.855072463768071,10.00000000000004,12.05882352941179,12.17391304347823,12.85074626865676
2029,9.565217391304301,9.705882352941213,12.05882352941179,12.463768115942,12.85074626865676
2030,9.275362318840532,9.705882352941213,12.05882352941179,12.75362318840576,12.85074626865676
2031,8.985507246376763,8.823529411764746,12.05882352941179,13.04347826086953,12.85074626865676
2032,8.985507246376763,9.41176470588239,12.35294117647062,13.04347826086953,12.85074626865676
2033,8.695652173912993,9.117647058823568,12.35294117647062,13.3333333333333,13.16417910447765
2034,8.695652173912993,9.117647058823568,12.35294117647062,13.3333333333333,13.16417910447765
2035,8.405797101449224,9.117647058823568,12.35294117647062,13.62318840579707,13.47761194029854
2036,8.405797101449224,8.823529411764746,12.35294117647062,13.62318840579707,13.47761194029854
2037,8.405797101449224,8.823529411764746,12.35294117647062,13.91304347826084,13.47761194029854
