YEAR, NITROUS OXIDE - SSP1-1.9, NITROUS OXIDE - SSP1-2.6, NITROUS OXIDE - SSP2-4.5, NITROUS OXIDE - SSP3-7.0, NITROUS OXIDE - SSP5-8.5
2038,8.405797101449224,8.823529411764746,12.64705882352944,13.91304347826084,13.79104477611944
2039,8.405797101449224,8.823529411764746,12.64705882352944,13.91304347826084,13.79104477611944
2040,8.405797101449224,8.823529411764746,12.64705882352944,14.20289855072461,13.79104477611944
2041,8.405797101449224,8.529411764705923,12.94117647058826,14.20289855072461,13.79104477611944
2042,8.405797101449224,8.529411764705923,12.94117647058826,14.49275362318838,14.10447761194033
2043,8.405797101449224,8.529411764705923,12.94117647058826,14.49275362318838,14.10447761194033
2044,8.405797101449224,8.529411764705923,12.64705882352944,14.78260869565215,14.10447761194033
2045,8.405797101449224,8.2352941176471,12.64705882352944,14.78260869565215,14.10447761194033
2046,8.405797101449224,8.2352941176471,12.64705882352944,14.78260869565215,14.10447761194033
2047,8.405797101449224,8.2352941176471,12.64705882352944,15.07246376811592,14.10447761194033
2048,8.405797101449224,,12.64705882352944,15.07246376811592,14.10447761194033
2049,8.405797101449224,8.2352941176471,12.64705882352944,15.07246376811592,14.10447761194033
2050,8.405797101449224,8.2352941176471,12.94117647058826,15.36231884057969,14.10447761194033
2051,8.405797101449224,8.2352941176471,12.94117647058826,15.36231884057969,14.10447761194033
2052,8.405797101449224,8.2352941176471,12.94117647058826,15.65217391304346,13.79104477611944
2053,8.115942028985454,8.2352941176471,12.94117647058826,15.65217391304346,13.79104477611944
2054,8.115942028985454,8.2352941176471,12.64705882352944,15.65217391304346,13.79104477611944
2055,8.115942028985454,8.2352941176471,12.64705882352944,15.94202898550723,14.10447761194033
2056,8.115942028985454,8.2352941176471,12.64705882352944,15.94202898550723,14.10447761194033
2057,8.115942028985454,8.2352941176471,12.35294117647062,16.231884057971,14.10447761194033
2058,8.115942028985454,8.2352941176471,12.35294117647062,16.231884057971,14.10447761194033
2059,8.115942028985454,8.2352941176471,12.35294117647062,16.231884057971,14.10447761194033
2060,8.115942028985454,8.2352941176471,12.35294117647062,16.52173913043477,14.10447761194033
2061,8.115942028985454,8.2352941176471,12.35294117647062,16.52173913043477,14.10447761194033
2062,8.115942028985454,7.941176470588278,12.35294117647062,16.52173913043477,14.10447761194033
2063,8.115942028985454,7.941176470588278,12.35294117647062,16.81159420289854,14.41791044776123
2064,8.115942028985454,7.941176470588278,12.35294117647062,16.81159420289854,14.41791044776123
2065,8.115942028985454,7.941176470588278,12.35294117647062,16.81159420289854,14.41791044776123
2066,8.115942028985454,7.941176470588278,12.05882352941179,17.10144927536231,14.41791044776123
2067,8.115942028985454,8.2352941176471,12.05882352941179,17.10144927536231,14.41791044776123
2068,8.115942028985454,8.2352941176471,12.05882352941179,17.10144927536231,14.41791044776123
2069,8.115942028985454,8.2352941176471,11.76470588235297,17.39130434782608,14.41791044776123
2070,8.115942028985454,8.2352941176471,11.76470588235297,17.39130434782608,14.41791044776123
2071,8.115942028985454,8.2352941176471,11.76470588235297,17.39130434782608,14.41791044776123
2072,8.115942028985454,8.2352941176471,11.76470588235297,17.68115942028984,14.41791044776123
2073,8.115942028985454,8.2352941176471,11.47058823529415,17.68115942028984,14.41791044776123
2074,8.115942028985454,8.2352941176471,11.47058823529415,17.97101449275361,14.41791044776123
2075,8.115942028985454,8.2352941176471,11.47058823529415,17.97101449275361,14.41791044776123
2076,8.115942028985454,8.2352941176471,11.47058823529415,17.97101449275361,14.41791044776123
2077,8.115942028985454,8.2352941176471,11.47058823529415,18.26086956521738,14.41791044776123
2078,8.115942028985454,8.2352941176471,11.17647058823533,18.26086956521738,14.41791044776123
2079,8.115942028985454,8.2352941176471,11.17647058823533,18.26086956521738,14.41791044776123
2080,8.115942028985454,8.2352941176471,10.8823529411765,18.55072463768115,14.41791044776123
2081,8.115942028985454,8.2352941176471,10.58823529411768,18.55072463768115,14.41791044776123
2082,8.115942028985454,8.2352941176471,10.58823529411768,18.84057971014492,14.41791044776123
2083,8.115942028985454,8.529411764705923,10.58823529411768,18.84057971014492,14.10447761194033
2084,8.115942028985454,8.529411764705923,10.58823529411768,18.84057971014492,14.10447761194033
2085,8.115942028985454,8.529411764705923,10.58823529411768,19.13043478260869,14.10447761194033
2086,8.115942028985454,8.529411764705923,10.29411764705886,19.13043478260869,14.10447761194033
2087,8.115942028985454,8.529411764705923,10.29411764705886,19.13043478260869,14.10447761194033
2088,8.405797101449224,8.529411764705923,10.29411764705886,19.42028985507246,14.10447761194033
2089,8.405797101449224,8.823529411764746,10.00000000000004,19.71014492753623,14.10447761194033
2090,8.405797101449224,8.823529411764746,10.00000000000004,19.13043478260869,14.10447761194033
2091,8.405797101449224,8.823529411764746,9.705882352941213,19.13043478260869,14.10447761194033
2092,8.405797101449224,8.823529411764746,9.705882352941213,19.13043478260869,14.10447761194033
2093,8.405797101449224,8.823529411764746,9.705882352941213,19.71014492753623,
2094,8.405797101449224,8.823529411764746,9.41176470588239,19.71014492753623,13.79104477611944
2095,8.115942028985454,8.823529411764746,9.41176470588239,19.42028985507246,13.79104477611944
2096,8.115942028985454,8.823529411764746,9.41176470588239,19.42028985507246,13.79104477611944
2097,8.115942028985454,8.823529411764746,9.41176470588239,,13.79104477611944
2098,8.115942028985454,8.529411764705923,9.41176470588239,,13.79104477611944
